Mananga Mbock,Hianga,Brest
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.03,22
TOTAL_SHOTS,0.73,36
ASSISTS,0.00,11
XA,0.00,1
NON_PEN_XG+XA,0.03,3
SHOT_CREATIONS,0.63,2
PASSES_ATTEMPTED,36.96,16
PASS_COMPLETION_PERCENTAGE,89.8,92
PROGRESSIVE_PASSES,2.92,21
PROGRESSIVE CARRIES,3.65,47
DRIBBLES_COMPLETED,0.73,47
TOUCHES_IN_AREA,0.63,21
PROGRESSIVE_PASSES_RECIEVED,1.67,49
PRESSURES,23.28,90
TACKLES,2.40,57
INTERCEPTIONS,0.42,1
BLOCKS,1.25,22
CLEARANCES,0.73,10
AERIAL_DUELS_WON,1.57,67
