Cardona,Irvin,Brest
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.22,18
NON_PEN_XG,0.24,17
TOTAL_SHOTS,1.95,22
ASSISTS,0.04,18
XA,0.08,21
NON_PEN_XG+XA,0.31,10
SHOT_CREATIONS,1.77,23
PASSES_ATTEMPTED,20.89,32
PASS_COMPLETION_PERCENTAGE,68.6,26
PROGRESSIVE_PASSES,1.06,21
PROGRESSIVE CARRIES,2.53,46
DRIBBLES_COMPLETED,0.80,32
TOUCHES_IN_AREA,4.75,37
PROGRESSIVE_PASSES_RECIEVED,8.38,66
PRESSURES,14.68,52
TACKLES,0.67,48
INTERCEPTIONS,0.71,87
BLOCKS,1.06,79
CLEARANCES,1.06,85
AERIAL_DUELS_WON,0.93,24
