Duverne,Jean-Kevin,Brest
LCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.01,6
TOTAL_SHOTS,0.18,6
ASSISTS,0.00,8
XA,0.07,45
NON_PEN_XG+XA,0.08,23
SHOT_CREATIONS,0.99,9
PASSES_ATTEMPTED,55.36,62
PASS_COMPLETION_PERCENTAGE,80.1,67
PROGRESSIVE_PASSES,4.53,77
PROGRESSIVE CARRIES,4.26,43
DRIBBLES_COMPLETED,1.03,67
TOUCHES_IN_AREA,0.63,13
PROGRESSIVE_PASSES_RECIEVED,0.76,4
PRESSURES,14.49,73
TACKLES,2.15,58
INTERCEPTIONS,1.88,73
BLOCKS,1.62,29
CLEARANCES,2.60,61
AERIAL_DUELS_WON,1.26,54
