Honorat,Franck,Brest
RAM,AM,RW
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.25,59
NON_PEN_XG,0.17,33
TOTAL_SHOTS,1.87,43
ASSISTS,0.14,31
XA,0.22,74
NON_PEN_XG+XA,0.39,51
SHOT_CREATIONS,3.68,68
PASSES_ATTEMPTED,38.28,47
PASS_COMPLETION_PERCENTAGE,68.3,14
PROGRESSIVE_PASSES,3.12,43
PROGRESSIVE CARRIES,5.57,41
DRIBBLES_COMPLETED,1.25,30
TOUCHES_IN_AREA,3.73,45
PROGRESSIVE_PASSES_RECIEVED,7.52,76
PRESSURES,16.83,55
TACKLES,1.64,70
INTERCEPTIONS,0.81,42
BLOCKS,1.17,50
CLEARANCES,0.67,68
AERIAL_DUELS_WON,0.81,65
