Brassier,Lilian,Brest
DF,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.05,56
NON_PEN_XG,0.02,14
TOTAL_SHOTS,0.42,38
ASSISTS,0.05,78
XA,0.06,98
NON_PEN_XG+XA,0.08,77
SHOT_CREATIONS,0.88,86
PASSES_ATTEMPTED,56.50,60
PASS_COMPLETION_PERCENTAGE,84.9,36
PROGRESSIVE_PASSES,4.26,89
PROGRESSIVE CARRIES,4.86,90
DRIBBLES_COMPLETED,0.28,68
TOUCHES_IN_AREA,0.74,43
PROGRESSIVE_PASSES_RECIEVED,0.19,59
PRESSURES,10.87,76
TACKLES,1.90,74
INTERCEPTIONS,2.17,79
BLOCKS,1.80,65
CLEARANCES,5.78,75
AERIAL_DUELS_WON,2.96,66
