Chardonnet,Brendan,Brest
RCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.13,94
NON_PEN_XG,0.07,82
TOTAL_SHOTS,0.62,73
ASSISTS,0.03,61
XA,0.04,89
NON_PEN_XG+XA,0.11,90
SHOT_CREATIONS,0.67,68
PASSES_ATTEMPTED,49.93,42
PASS_COMPLETION_PERCENTAGE,85.1,37
PROGRESSIVE_PASSES,2.83,58
PROGRESSIVE CARRIES,2.64,51
DRIBBLES_COMPLETED,0.08,14
TOUCHES_IN_AREA,0.94,67
PROGRESSIVE_PASSES_RECIEVED,0.03,7
PRESSURES,7.90,36
TACKLES,1.67,64
INTERCEPTIONS,2.29,86
BLOCKS,1.75,60
CLEARANCES,7.01,92
AERIAL_DUELS_WON,2.99,67
