Faivre,Romain,Brest
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.11,19
NON_PEN_XG,0.16,28
TOTAL_SHOTS,1.69,32
ASSISTS,0.23,66
XA,0.16,46
NON_PEN_XG+XA,0.32,32
SHOT_CREATIONS,3.95,78
PASSES_ATTEMPTED,44.34,72
PASS_COMPLETION_PERCENTAGE,80.6,79
PROGRESSIVE_PASSES,4.52,82
PROGRESSIVE CARRIES,7.71,79
DRIBBLES_COMPLETED,2.40,84
TOUCHES_IN_AREA,2.91,22
PROGRESSIVE_PASSES_RECIEVED,4.38,14
PRESSURES,15.36,46
TACKLES,1.95,85
INTERCEPTIONS,0.96,58
BLOCKS,0.90,20
CLEARANCES,0.54,54
AERIAL_DUELS_WON,0.51,35
