Vargas,Ruben,Augsburg
LAM,AM,LW
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.14,24
NON_PEN_XG,0.17,32
TOTAL_SHOTS,1.95,49
ASSISTS,0.19,52
XA,0.16,45
NON_PEN_XG+XA,0.32,34
SHOT_CREATIONS,2.37,15
PASSES_ATTEMPTED,29.33,12
PASS_COMPLETION_PERCENTAGE,73.4,33
PROGRESSIVE_PASSES,2.37,22
PROGRESSIVE CARRIES,4.50,16
DRIBBLES_COMPLETED,2.23,75
TOUCHES_IN_AREA,4.04,54
PROGRESSIVE_PASSES_RECIEVED,5.99,43
PRESSURES,14.34,34
TACKLES,1.30,45
INTERCEPTIONS,1.44,88
BLOCKS,1.16,49
CLEARANCES,0.79,79
AERIAL_DUELS_WON,0.74,57
