Oxford,Reece,Augsburg
DF,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.08,77
NON_PEN_XG,0.07,83
TOTAL_SHOTS,0.53,58
ASSISTS,0.00,28
XA,0.00,14
NON_PEN_XG+XA,0.08,68
SHOT_CREATIONS,0.23,5
PASSES_ATTEMPTED,39.08,12
PASS_COMPLETION_PERCENTAGE,82.9,22
PROGRESSIVE_PASSES,2.60,50
PROGRESSIVE CARRIES,1.24,14
DRIBBLES_COMPLETED,0.15,32
TOUCHES_IN_AREA,0.98,70
PROGRESSIVE_PASSES_RECIEVED,0.15,50
PRESSURES,8.93,52
TACKLES,1.28,34
INTERCEPTIONS,2.90,98
BLOCKS,2.04,82
CLEARANCES,6.93,91
AERIAL_DUELS_WON,3.24,75
