Córdova,Sergio,Augsburg
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.19,11
NON_PEN_XG,0.35,49
TOTAL_SHOTS,1.85,15
ASSISTS,0.00,5
XA,0.07,17
NON_PEN_XG+XA,0.42,35
SHOT_CREATIONS,2.33,58
PASSES_ATTEMPTED,20.51,28
PASS_COMPLETION_PERCENTAGE,67.3,19
PROGRESSIVE_PASSES,1.17,28
PROGRESSIVE CARRIES,2.72,47
DRIBBLES_COMPLETED,0.68,22
TOUCHES_IN_AREA,3.69,9
PROGRESSIVE_PASSES_RECIEVED,6.41,29
PRESSURES,22.65,97
TACKLES,1.36,94
INTERCEPTIONS,0.39,50
BLOCKS,0.58,27
CLEARANCES,0.97,79
AERIAL_DUELS_WON,3.50,80
