Framberger,Raphael,Augsburg
RB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.00,1
TOTAL_SHOTS,0.07,1
ASSISTS,0.00,8
XA,0.06,30
NON_PEN_XG+XA,0.06,16
SHOT_CREATIONS,1.14,19
PASSES_ATTEMPTED,42.32,11
PASS_COMPLETION_PERCENTAGE,65.3,2
PROGRESSIVE_PASSES,3.35,43
PROGRESSIVE CARRIES,2.71,10
DRIBBLES_COMPLETED,0.50,22
TOUCHES_IN_AREA,0.29,3
PROGRESSIVE_PASSES_RECIEVED,1.28,21
PRESSURES,13.20,58
TACKLES,2.21,60
INTERCEPTIONS,1.36,29
BLOCKS,3.21,99
CLEARANCES,3.43,89
AERIAL_DUELS_WON,1.36,61
