Pedersen,Mads,Augsburg
DF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.06,66
NON_PEN_XG,0.03,38
TOTAL_SHOTS,0.63,55
ASSISTS,0.00,8
XA,0.08,51
NON_PEN_XG+XA,0.11,43
SHOT_CREATIONS,1.85,60
PASSES_ATTEMPTED,37.71,5
PASS_COMPLETION_PERCENTAGE,68.0,4
PROGRESSIVE_PASSES,2.36,7
PROGRESSIVE CARRIES,2.77,11
DRIBBLES_COMPLETED,1.15,77
TOUCHES_IN_AREA,1.44,54
PROGRESSIVE_PASSES_RECIEVED,1.67,32
PRESSURES,17.93,92
TACKLES,2.31,66
INTERCEPTIONS,2.08,83
BLOCKS,2.08,70
CLEARANCES,1.96,32
AERIAL_DUELS_WON,0.69,20
