"b'Gikiewicz, Rafa'",Augsburg
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,-0.06,44
GOALS_CONCEDED,1.66,23
SAVE_PERCENTAGE,68.7,48
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.28,30
PENALTY_SAVE_PERCENTAGE,25.0,74
CLEAN_SHEET_PERCENTAGE,21.1,39
TOUCHES,41.32,82
LAUNCH_PERCENTAGE,47.5,65
GOAL_KICKS,8.66,91
AVG_GOAL_KICK_DISTANCE,50.7,71
CROSSES_STOPPED_PERCENTAGE,6.7,37
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.84,75
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,14.8,64
