Caligiuri,Daniel,Augsburg
RB,RAM,AM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,1
NON_PEN_XG,0.08,3
TOTAL_SHOTS,1.50,22
ASSISTS,0.14,30
XA,0.12,18
NON_PEN_XG+XA,0.19,4
SHOT_CREATIONS,3.16,48
PASSES_ATTEMPTED,39.35,53
PASS_COMPLETION_PERCENTAGE,66.9,9
PROGRESSIVE_PASSES,3.37,53
PROGRESSIVE CARRIES,4.69,21
DRIBBLES_COMPLETED,2.01,66
TOUCHES_IN_AREA,1.60,2
PROGRESSIVE_PASSES_RECIEVED,4.25,12
PRESSURES,20.20,83
TACKLES,2.72,97
INTERCEPTIONS,1.29,81
BLOCKS,2.07,96
CLEARANCES,1.46,98
AERIAL_DUELS_WON,1.46,89
