Morávek,Jan,Augsburg
RAM,AM,RW
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.14,92
TOTAL_SHOTS,0.48,15
ASSISTS,0.00,11
XA,0.10,71
NON_PEN_XG+XA,0.24,86
SHOT_CREATIONS,2.41,74
PASSES_ATTEMPTED,40.34,20
PASS_COMPLETION_PERCENTAGE,69.7,1
PROGRESSIVE_PASSES,2.57,13
PROGRESSIVE CARRIES,2.41,19
DRIBBLES_COMPLETED,0.16,1
TOUCHES_IN_AREA,1.29,59
PROGRESSIVE_PASSES_RECIEVED,2.73,77
PRESSURES,27.16,98
TACKLES,1.77,27
INTERCEPTIONS,2.25,90
BLOCKS,1.45,42
CLEARANCES,1.93,77
AERIAL_DUELS_WON,0.96,40
