Niederlechner,Florian,Augsburg
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.46,75
NON_PEN_XG,0.40,66
TOTAL_SHOTS,2.54,56
ASSISTS,0.17,71
XA,0.17,73
NON_PEN_XG+XA,0.57,68
SHOT_CREATIONS,1.85,27
PASSES_ATTEMPTED,17.20,11
PASS_COMPLETION_PERCENTAGE,71.8,45
PROGRESSIVE_PASSES,1.21,33
PROGRESSIVE CARRIES,1.73,16
DRIBBLES_COMPLETED,1.10,59
TOUCHES_IN_AREA,4.56,30
PROGRESSIVE_PASSES_RECIEVED,5.02,6
PRESSURES,12.87,35
TACKLES,0.69,50
INTERCEPTIONS,0.40,54
BLOCKS,0.98,75
CLEARANCES,1.04,82
AERIAL_DUELS_WON,2.54,67
