Petersen,Nils,Freiburg
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.53,81
NON_PEN_XG,0.30,31
TOTAL_SHOTS,1.97,24
ASSISTS,0.00,5
XA,0.12,50
NON_PEN_XG+XA,0.42,36
SHOT_CREATIONS,1.58,14
PASSES_ATTEMPTED,19.61,22
PASS_COMPLETION_PERCENTAGE,65.8,14
PROGRESSIVE_PASSES,0.79,10
PROGRESSIVE CARRIES,0.66,1
DRIBBLES_COMPLETED,0.53,19
TOUCHES_IN_AREA,3.95,11
PROGRESSIVE_PASSES_RECIEVED,4.74,4
PRESSURES,23.82,98
TACKLES,1.05,76
INTERCEPTIONS,0.79,95
BLOCKS,1.71,97
CLEARANCES,3.29,99
AERIAL_DUELS_WON,3.29,79
