Santamaria,Baptiste,Freiburg
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,42
NON_PEN_XG,0.08,69
TOTAL_SHOTS,1.04,60
ASSISTS,0.09,62
XA,0.06,44
NON_PEN_XG+XA,0.14,54
SHOT_CREATIONS,1.81,50
PASSES_ATTEMPTED,43.40,30
PASS_COMPLETION_PERCENTAGE,78.4,18
PROGRESSIVE_PASSES,3.28,37
PROGRESSIVE CARRIES,2.85,25
DRIBBLES_COMPLETED,0.60,33
TOUCHES_IN_AREA,1.68,77
PROGRESSIVE_PASSES_RECIEVED,1.94,59
PRESSURES,19.78,66
TACKLES,2.33,55
INTERCEPTIONS,2.12,85
BLOCKS,1.94,80
CLEARANCES,1.68,63
AERIAL_DUELS_WON,2.63,92
