Eggestein,Maximilian,Freiburg
AM,CM,DM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,33
NON_PEN_XG,0.03,22
TOTAL_SHOTS,0.80,39
ASSISTS,0.16,85
XA,0.13,86
NON_PEN_XG+XA,0.16,61
SHOT_CREATIONS,1.78,48
PASSES_ATTEMPTED,39.24,19
PASS_COMPLETION_PERCENTAGE,76.8,12
PROGRESSIVE_PASSES,4.43,63
PROGRESSIVE CARRIES,2.90,27
DRIBBLES_COMPLETED,0.29,6
TOUCHES_IN_AREA,1.02,47
PROGRESSIVE_PASSES_RECIEVED,2.52,72
PRESSURES,16.37,30
TACKLES,1.85,30
INTERCEPTIONS,1.50,41
BLOCKS,2.17,91
CLEARANCES,1.56,52
AERIAL_DUELS_WON,1.62,69
