Schlotterbeck,Nico,Freiburg
DF,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.07,75
NON_PEN_XG,0.11,97
TOTAL_SHOTS,1.42,99
ASSISTS,0.00,28
XA,0.04,90
NON_PEN_XG+XA,0.15,98
SHOT_CREATIONS,1.49,98
PASSES_ATTEMPTED,53.03,50
PASS_COMPLETION_PERCENTAGE,82.2,18
PROGRESSIVE_PASSES,4.14,88
PROGRESSIVE CARRIES,4.58,86
DRIBBLES_COMPLETED,0.73,97
TOUCHES_IN_AREA,1.82,99
PROGRESSIVE_PASSES_RECIEVED,0.51,92
PRESSURES,10.54,72
TACKLES,2.40,91
INTERCEPTIONS,2.62,94
BLOCKS,1.78,63
CLEARANCES,5.38,64
AERIAL_DUELS_WON,3.56,85
