Höler,Lucas,Freiburg
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.25,25
NON_PEN_XG,0.31,32
TOTAL_SHOTS,1.99,25
ASSISTS,0.11,41
XA,0.13,57
NON_PEN_XG+XA,0.44,41
SHOT_CREATIONS,2.38,59
PASSES_ATTEMPTED,29.35,79
PASS_COMPLETION_PERCENTAGE,67.2,18
PROGRESSIVE_PASSES,1.81,68
PROGRESSIVE CARRIES,3.03,55
DRIBBLES_COMPLETED,0.87,38
TOUCHES_IN_AREA,4.91,40
PROGRESSIVE_PASSES_RECIEVED,7.47,48
PRESSURES,17.98,80
TACKLES,1.41,94
INTERCEPTIONS,0.61,82
BLOCKS,0.97,75
CLEARANCES,0.79,68
AERIAL_DUELS_WON,4.98,93
