Schlotterbeck,Keven,Freiburg
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.03,31
TOTAL_SHOTS,0.46,45
ASSISTS,0.00,28
XA,0.01,26
NON_PEN_XG+XA,0.04,20
SHOT_CREATIONS,0.33,16
PASSES_ATTEMPTED,43.30,20
PASS_COMPLETION_PERCENTAGE,81.2,14
PROGRESSIVE_PASSES,2.16,31
PROGRESSIVE CARRIES,1.11,11
DRIBBLES_COMPLETED,0.20,46
TOUCHES_IN_AREA,0.85,56
PROGRESSIVE_PASSES_RECIEVED,0.39,88
PRESSURES,10.02,67
TACKLES,1.97,77
INTERCEPTIONS,1.64,45
BLOCKS,1.97,79
CLEARANCES,6.42,86
AERIAL_DUELS_WON,3.41,82
