Schmid,Jonathan,Freiburg
RB,RM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.11,86
NON_PEN_XG,0.05,62
TOTAL_SHOTS,0.73,69
ASSISTS,0.06,37
XA,0.07,41
NON_PEN_XG+XA,0.11,48
SHOT_CREATIONS,2.09,76
PASSES_ATTEMPTED,46.53,22
PASS_COMPLETION_PERCENTAGE,75.1,32
PROGRESSIVE_PASSES,3.90,61
PROGRESSIVE CARRIES,3.28,18
DRIBBLES_COMPLETED,0.90,59
TOUCHES_IN_AREA,1.70,66
PROGRESSIVE_PASSES_RECIEVED,2.43,65
PRESSURES,10.57,20
TACKLES,0.96,3
INTERCEPTIONS,1.30,26
BLOCKS,2.54,91
CLEARANCES,1.87,27
AERIAL_DUELS_WON,0.73,22
