"b'Demirovic, Ermedin'",Freiburg
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.29,34
NON_PEN_XG,0.28,26
TOTAL_SHOTS,2.30,42
ASSISTS,0.29,91
XA,0.12,46
NON_PEN_XG+XA,0.40,30
SHOT_CREATIONS,1.84,25
PASSES_ATTEMPTED,15.55,5
PASS_COMPLETION_PERCENTAGE,58.1,1
PROGRESSIVE_PASSES,1.50,53
PROGRESSIVE CARRIES,2.25,36
DRIBBLES_COMPLETED,0.92,46
TOUCHES_IN_AREA,4.72,36
PROGRESSIVE_PASSES_RECIEVED,6.33,27
PRESSURES,22.86,97
TACKLES,1.04,75
INTERCEPTIONS,0.35,43
BLOCKS,1.96,99
CLEARANCES,1.15,88
AERIAL_DUELS_WON,2.53,66
