Flekken,Mark,Freiburg
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,+0.27,98
GOALS_CONCEDED,1.11,77
SAVE_PERCENTAGE,79.5,97
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.26,14
PENALTY_SAVE_PERCENTAGE,0.0,25
CLEAN_SHEET_PERCENTAGE,31.6,69
TOUCHES,43.89,90
LAUNCH_PERCENTAGE,47.6,66
GOAL_KICKS,8.21,77
AVG_GOAL_KICK_DISTANCE,63.9,96
CROSSES_STOPPED_PERCENTAGE,6.8,41
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.63,52
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,14.8,64
