Woo-yeong,Jeong,Freiburg
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.34,83
NON_PEN_XG,0.22,57
TOTAL_SHOTS,2.01,52
ASSISTS,0.00,1
XA,0.09,6
NON_PEN_XG+XA,0.30,26
SHOT_CREATIONS,2.41,16
PASSES_ATTEMPTED,34.21,29
PASS_COMPLETION_PERCENTAGE,73.8,34
PROGRESSIVE_PASSES,3.21,46
PROGRESSIVE CARRIES,4.02,9
DRIBBLES_COMPLETED,0.80,10
TOUCHES_IN_AREA,4.08,54
PROGRESSIVE_PASSES_RECIEVED,7.63,76
PRESSURES,21.18,87
TACKLES,0.46,1
INTERCEPTIONS,0.80,39
BLOCKS,0.75,10
CLEARANCES,0.80,80
AERIAL_DUELS_WON,1.43,87
