Günter,Christian,Freiburg
LB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.08,78
NON_PEN_XG,0.02,34
TOTAL_SHOTS,0.58,51
ASSISTS,0.16,82
XA,0.20,95
NON_PEN_XG+XA,0.23,87
SHOT_CREATIONS,3.34,97
PASSES_ATTEMPTED,49.24,33
PASS_COMPLETION_PERCENTAGE,71.6,12
PROGRESSIVE_PASSES,3.63,52
PROGRESSIVE CARRIES,4.03,35
DRIBBLES_COMPLETED,0.45,18
TOUCHES_IN_AREA,1.95,74
PROGRESSIVE_PASSES_RECIEVED,3.26,82
PRESSURES,10.39,18
TACKLES,1.24,7
INTERCEPTIONS,0.95,4
BLOCKS,1.32,10
CLEARANCES,1.47,13
AERIAL_DUELS_WON,0.53,11
