Matazo,Eliot,Monaco
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.11,77
NON_PEN_XG,0.14,91
TOTAL_SHOTS,0.43,12
ASSISTS,0.11,71
XA,0.06,48
NON_PEN_XG+XA,0.20,79
SHOT_CREATIONS,1.81,50
PASSES_ATTEMPTED,41.10,22
PASS_COMPLETION_PERCENTAGE,85.2,59
PROGRESSIVE_PASSES,3.31,38
PROGRESSIVE CARRIES,2.78,24
DRIBBLES_COMPLETED,1.60,93
TOUCHES_IN_AREA,0.85,36
PROGRESSIVE_PASSES_RECIEVED,1.39,38
PRESSURES,18.15,48
TACKLES,2.24,51
INTERCEPTIONS,1.39,32
BLOCKS,1.28,24
CLEARANCES,0.75,12
AERIAL_DUELS_WON,1.17,50
