Maripán,Guillermo,Monaco
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.14,96
NON_PEN_XG,0.08,86
TOTAL_SHOTS,0.51,53
ASSISTS,0.03,62
XA,0.01,53
NON_PEN_XG+XA,0.09,83
SHOT_CREATIONS,0.42,32
PASSES_ATTEMPTED,70.30,90
PASS_COMPLETION_PERCENTAGE,90.8,85
PROGRESSIVE_PASSES,3.29,73
PROGRESSIVE CARRIES,3.46,72
DRIBBLES_COMPLETED,0.08,14
TOUCHES_IN_AREA,0.93,66
PROGRESSIVE_PASSES_RECIEVED,0.20,63
PRESSURES,8.30,43
TACKLES,1.77,70
INTERCEPTIONS,1.52,34
BLOCKS,1.01,2
CLEARANCES,4.42,34
AERIAL_DUELS_WON,2.03,23
