Golovin,Aleksandr,Monaco
AM,CM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.33,79
NON_PEN_XG,0.20,50
TOTAL_SHOTS,1.73,34
ASSISTS,0.56,99
XA,0.33,96
NON_PEN_XG+XA,0.53,81
SHOT_CREATIONS,3.88,76
PASSES_ATTEMPTED,48.79,84
PASS_COMPLETION_PERCENTAGE,71.2,23
PROGRESSIVE_PASSES,3.56,58
PROGRESSIVE CARRIES,6.46,60
DRIBBLES_COMPLETED,1.68,53
TOUCHES_IN_AREA,4.16,56
PROGRESSIVE_PASSES_RECIEVED,6.92,62
PRESSURES,25.07,97
TACKLES,2.01,87
INTERCEPTIONS,1.31,83
BLOCKS,1.87,93
CLEARANCES,0.33,24
AERIAL_DUELS_WON,0.70,54
