Aguilar,Ruben,Monaco
RB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.04,53
TOTAL_SHOTS,0.23,13
ASSISTS,0.04,23
XA,0.07,45
NON_PEN_XG+XA,0.11,44
SHOT_CREATIONS,1.44,39
PASSES_ATTEMPTED,68.34,90
PASS_COMPLETION_PERCENTAGE,83.9,86
PROGRESSIVE_PASSES,4.52,77
PROGRESSIVE CARRIES,5.89,76
DRIBBLES_COMPLETED,0.61,37
TOUCHES_IN_AREA,1.82,70
PROGRESSIVE_PASSES_RECIEVED,3.08,80
PRESSURES,17.98,93
TACKLES,4.03,99
INTERCEPTIONS,2.20,88
BLOCKS,2.01,63
CLEARANCES,2.70,66
AERIAL_DUELS_WON,1.67,79
