Badiashile,Benoît,Monaco
LCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.04,42
TOTAL_SHOTS,0.50,53
ASSISTS,0.07,91
XA,0.05,95
NON_PEN_XG+XA,0.09,79
SHOT_CREATIONS,0.80,80
PASSES_ATTEMPTED,74.58,95
PASS_COMPLETION_PERCENTAGE,87.2,54
PROGRESSIVE_PASSES,5.40,98
PROGRESSIVE CARRIES,4.22,83
DRIBBLES_COMPLETED,0.20,49
TOUCHES_IN_AREA,0.74,42
PROGRESSIVE_PASSES_RECIEVED,0.30,79
PRESSURES,7.14,24
TACKLES,1.31,38
INTERCEPTIONS,2.18,80
BLOCKS,1.31,15
CLEARANCES,5.80,75
AERIAL_DUELS_WON,3.25,76
