Fofana,Youssouf,Monaco
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,31
NON_PEN_XG,0.06,46
TOTAL_SHOTS,1.11,67
ASSISTS,0.15,83
XA,0.07,53
NON_PEN_XG+XA,0.13,48
SHOT_CREATIONS,1.70,45
PASSES_ATTEMPTED,52.25,55
PASS_COMPLETION_PERCENTAGE,81.7,36
PROGRESSIVE_PASSES,5.28,80
PROGRESSIVE CARRIES,4.78,72
DRIBBLES_COMPLETED,1.26,83
TOUCHES_IN_AREA,0.47,12
PROGRESSIVE_PASSES_RECIEVED,1.73,52
PRESSURES,19.31,61
TACKLES,2.78,78
INTERCEPTIONS,1.64,53
BLOCKS,1.99,83
CLEARANCES,0.94,21
AERIAL_DUELS_WON,0.85,34
