Henrique Oliveira Silva,Caio,Monaco
LB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.02,29
TOTAL_SHOTS,0.21,10
ASSISTS,0.27,97
XA,0.17,91
NON_PEN_XG+XA,0.19,81
SHOT_CREATIONS,1.92,65
PASSES_ATTEMPTED,59.54,78
PASS_COMPLETION_PERCENTAGE,78.0,56
PROGRESSIVE_PASSES,4.39,76
PROGRESSIVE CARRIES,7.06,90
DRIBBLES_COMPLETED,0.53,27
TOUCHES_IN_AREA,1.92,72
PROGRESSIVE_PASSES_RECIEVED,3.78,90
PRESSURES,11.37,29
TACKLES,2.10,56
INTERCEPTIONS,1.25,22
BLOCKS,1.20,5
CLEARANCES,1.49,14
AERIAL_DUELS_WON,0.48,10
