Sidibé,Djibril,Monaco
RB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.01,10
TOTAL_SHOTS,0.26,16
ASSISTS,0.08,51
XA,0.10,65
NON_PEN_XG+XA,0.11,41
SHOT_CREATIONS,1.92,64
PASSES_ATTEMPTED,81.85,98
PASS_COMPLETION_PERCENTAGE,82.4,80
PROGRESSIVE_PASSES,5.67,93
PROGRESSIVE CARRIES,5.03,60
DRIBBLES_COMPLETED,0.41,15
TOUCHES_IN_AREA,0.53,8
PROGRESSIVE_PASSES_RECIEVED,0.86,7
PRESSURES,11.83,38
TACKLES,3.31,94
INTERCEPTIONS,2.48,95
BLOCKS,1.31,9
CLEARANCES,2.74,70
AERIAL_DUELS_WON,1.31,60
