Jakobs,Ismail,Monaco
DF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.06,66
NON_PEN_XG,0.03,38
TOTAL_SHOTS,0.58,51
ASSISTS,0.06,38
XA,0.13,79
NON_PEN_XG+XA,0.15,67
SHOT_CREATIONS,2.01,70
PASSES_ATTEMPTED,55.47,63
PASS_COMPLETION_PERCENTAGE,71.6,12
PROGRESSIVE_PASSES,3.45,46
PROGRESSIVE CARRIES,4.55,50
DRIBBLES_COMPLETED,0.40,14
TOUCHES_IN_AREA,1.84,70
PROGRESSIVE_PASSES_RECIEVED,4.95,96
PRESSURES,14.39,72
TACKLES,2.47,72
INTERCEPTIONS,1.09,10
BLOCKS,1.61,29
CLEARANCES,2.36,48
AERIAL_DUELS_WON,1.73,81
