Tchouaméni,Aurélien,Monaco
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.07,63
NON_PEN_XG,0.10,80
TOTAL_SHOTS,1.62,89
ASSISTS,0.07,56
XA,0.06,41
NON_PEN_XG+XA,0.16,62
SHOT_CREATIONS,1.60,38
PASSES_ATTEMPTED,57.61,69
PASS_COMPLETION_PERCENTAGE,85.0,57
PROGRESSIVE_PASSES,4.94,74
PROGRESSIVE CARRIES,4.60,66
DRIBBLES_COMPLETED,0.97,65
TOUCHES_IN_AREA,1.48,69
PROGRESSIVE_PASSES_RECIEVED,1.38,38
PRESSURES,18.39,48
TACKLES,3.97,98
INTERCEPTIONS,2.79,97
BLOCKS,1.31,27
CLEARANCES,1.89,75
AERIAL_DUELS_WON,2.52,91
