Malinovskyi,Ruslan,Atalanta
AM,DM,FW
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.37,85
NON_PEN_XG,0.22,55
TOTAL_SHOTS,3.21,95
ASSISTS,0.37,92
XA,0.41,99
NON_PEN_XG+XA,0.63,91
SHOT_CREATIONS,5.50,96
PASSES_ATTEMPTED,52.95,91
PASS_COMPLETION_PERCENTAGE,73.6,34
PROGRESSIVE_PASSES,6.48,97
PROGRESSIVE CARRIES,8.13,84
DRIBBLES_COMPLETED,2.43,86
TOUCHES_IN_AREA,3.54,39
PROGRESSIVE_PASSES_RECIEVED,8.71,91
PRESSURES,21.73,92
TACKLES,1.18,35
INTERCEPTIONS,0.40,4
BLOCKS,1.05,34
CLEARANCES,0.30,22
AERIAL_DUELS_WON,1.45,87
