Koopmeiners,Teun,Atalanta
DF,CM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.19,93
NON_PEN_XG,0.07,51
TOTAL_SHOTS,1.21,73
ASSISTS,0.19,90
XA,0.17,92
NON_PEN_XG+XA,0.24,86
SHOT_CREATIONS,3.26,93
PASSES_ATTEMPTED,66.36,85
PASS_COMPLETION_PERCENTAGE,79.2,23
PROGRESSIVE_PASSES,6.33,92
PROGRESSIVE CARRIES,4.65,67
DRIBBLES_COMPLETED,1.12,75
TOUCHES_IN_AREA,0.93,41
PROGRESSIVE_PASSES_RECIEVED,2.70,77
PRESSURES,18.61,52
TACKLES,2.14,46
INTERCEPTIONS,1.40,33
BLOCKS,2.61,98
CLEARANCES,0.56,6
AERIAL_DUELS_WON,1.30,54
