Piccoli,Roberto,Atalanta
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.93,99
NON_PEN_XG,0.69,99
TOTAL_SHOTS,2.78,71
ASSISTS,0.00,5
XA,0.06,13
NON_PEN_XG+XA,0.77,95
SHOT_CREATIONS,0.46,1
PASSES_ATTEMPTED,16.52,10
PASS_COMPLETION_PERCENTAGE,61.7,6
PROGRESSIVE_PASSES,0.15,1
PROGRESSIVE CARRIES,1.54,12
DRIBBLES_COMPLETED,0.15,1
TOUCHES_IN_AREA,5.25,57
PROGRESSIVE_PASSES_RECIEVED,8.49,70
PRESSURES,21.77,96
TACKLES,1.08,77
INTERCEPTIONS,0.15,5
BLOCKS,1.24,89
CLEARANCES,0.93,76
AERIAL_DUELS_WON,2.62,70
