Pessina,Matteo,Atalanta
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.11,20
NON_PEN_XG,0.16,27
TOTAL_SHOTS,1.26,9
ASSISTS,0.08,13
XA,0.10,8
NON_PEN_XG+XA,0.26,15
SHOT_CREATIONS,2.53,19
PASSES_ATTEMPTED,50.51,86
PASS_COMPLETION_PERCENTAGE,83.0,90
PROGRESSIVE_PASSES,4.29,78
PROGRESSIVE CARRIES,5.40,36
DRIBBLES_COMPLETED,1.11,23
TOUCHES_IN_AREA,4.32,60
PROGRESSIVE_PASSES_RECIEVED,7.23,69
PRESSURES,16.42,54
TACKLES,1.34,51
INTERCEPTIONS,0.73,31
BLOCKS,1.84,92
CLEARANCES,0.61,60
AERIAL_DUELS_WON,1.22,80
