Freuler,Remo,Atalanta
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.07,63
NON_PEN_XG,0.06,44
TOTAL_SHOTS,0.54,22
ASSISTS,0.07,57
XA,0.09,68
NON_PEN_XG+XA,0.15,58
SHOT_CREATIONS,2.74,84
PASSES_ATTEMPTED,68.38,89
PASS_COMPLETION_PERCENTAGE,88.4,85
PROGRESSIVE_PASSES,7.31,98
PROGRESSIVE CARRIES,7.14,93
DRIBBLES_COMPLETED,1.06,71
TOUCHES_IN_AREA,1.73,78
PROGRESSIVE_PASSES_RECIEVED,2.15,67
PRESSURES,18.81,54
TACKLES,2.27,53
INTERCEPTIONS,1.88,73
BLOCKS,1.75,68
CLEARANCES,1.26,38
AERIAL_DUELS_WON,0.94,40
