Zapata,Duván,Atalanta
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.61,90
NON_PEN_XG,0.57,93
TOTAL_SHOTS,3.75,94
ASSISTS,0.36,98
XA,0.23,91
NON_PEN_XG+XA,0.80,96
SHOT_CREATIONS,3.53,92
PASSES_ATTEMPTED,28.28,74
PASS_COMPLETION_PERCENTAGE,75.3,68
PROGRESSIVE_PASSES,1.43,48
PROGRESSIVE CARRIES,5.87,89
DRIBBLES_COMPLETED,1.65,86
TOUCHES_IN_AREA,10.61,99
PROGRESSIVE_PASSES_RECIEVED,13.64,99
PRESSURES,9.37,7
TACKLES,0.39,16
INTERCEPTIONS,0.39,50
BLOCKS,0.83,63
CLEARANCES,0.55,41
AERIAL_DUELS_WON,1.54,41
