Hateboer,Hans,Atalanta
DM,RB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.12,97
TOTAL_SHOTS,1.24,95
ASSISTS,0.07,48
XA,0.07,43
NON_PEN_XG+XA,0.20,82
SHOT_CREATIONS,1.73,55
PASSES_ATTEMPTED,49.56,36
PASS_COMPLETION_PERCENTAGE,85.7,92
PROGRESSIVE_PASSES,3.73,55
PROGRESSIVE CARRIES,4.49,48
DRIBBLES_COMPLETED,0.35,10
TOUCHES_IN_AREA,2.97,92
PROGRESSIVE_PASSES_RECIEVED,4.21,94
PRESSURES,11.87,39
TACKLES,1.93,44
INTERCEPTIONS,0.90,3
BLOCKS,1.04,1
CLEARANCES,0.83,1
AERIAL_DUELS_WON,1.45,67
