Luis Palomino,José,Atalanta
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.05,62
NON_PEN_XG,0.04,36
TOTAL_SHOTS,0.37,29
ASSISTS,0.03,60
XA,0.02,68
NON_PEN_XG+XA,0.06,46
SHOT_CREATIONS,0.53,50
PASSES_ATTEMPTED,54.69,56
PASS_COMPLETION_PERCENTAGE,85.5,40
PROGRESSIVE_PASSES,3.46,76
PROGRESSIVE CARRIES,2.71,53
DRIBBLES_COMPLETED,0.05,8
TOUCHES_IN_AREA,0.88,59
PROGRESSIVE_PASSES_RECIEVED,0.24,71
PRESSURES,14.97,97
TACKLES,2.87,99
INTERCEPTIONS,2.95,98
BLOCKS,2.10,84
CLEARANCES,4.79,46
AERIAL_DUELS_WON,3.94,92
