de Roon,Marten,Atalanta
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.02,27
NON_PEN_XG,0.02,9
TOTAL_SHOTS,0.44,12
ASSISTS,0.02,22
XA,0.05,38
NON_PEN_XG+XA,0.07,17
SHOT_CREATIONS,1.75,47
PASSES_ATTEMPTED,59.91,75
PASS_COMPLETION_PERCENTAGE,86.4,70
PROGRESSIVE_PASSES,5.25,79
PROGRESSIVE CARRIES,4.12,55
DRIBBLES_COMPLETED,0.27,4
TOUCHES_IN_AREA,0.46,12
PROGRESSIVE_PASSES_RECIEVED,0.60,6
PRESSURES,19.53,63
TACKLES,2.41,60
INTERCEPTIONS,2.24,89
BLOCKS,1.35,32
CLEARANCES,2.50,92
AERIAL_DUELS_WON,1.93,79
