Muriel,Luis,Atalanta
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.98,99
NON_PEN_XG,0.66,98
TOTAL_SHOTS,4.71,99
ASSISTS,0.44,99
XA,0.31,98
NON_PEN_XG+XA,0.97,99
SHOT_CREATIONS,6.23,99
PASSES_ATTEMPTED,43.82,97
PASS_COMPLETION_PERCENTAGE,70.2,35
PROGRESSIVE_PASSES,4.46,98
PROGRESSIVE CARRIES,7.50,96
DRIBBLES_COMPLETED,3.19,98
TOUCHES_IN_AREA,8.28,98
PROGRESSIVE_PASSES_RECIEVED,14.22,99
PRESSURES,16.57,71
TACKLES,1.23,88
INTERCEPTIONS,0.59,79
BLOCKS,1.23,89
CLEARANCES,0.39,28
AERIAL_DUELS_WON,1.91,57
