Miranchuk,Aleksei,Atalanta
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.39,87
NON_PEN_XG,0.23,63
TOTAL_SHOTS,1.83,41
ASSISTS,0.39,93
XA,0.36,97
NON_PEN_XG+XA,0.59,89
SHOT_CREATIONS,4.24,82
PASSES_ATTEMPTED,50.40,86
PASS_COMPLETION_PERCENTAGE,78.4,64
PROGRESSIVE_PASSES,5.49,93
PROGRESSIVE CARRIES,6.94,70
DRIBBLES_COMPLETED,1.64,50
TOUCHES_IN_AREA,4.72,68
PROGRESSIVE_PASSES_RECIEVED,10.79,96
PRESSURES,17.25,59
TACKLES,2.22,93
INTERCEPTIONS,0.67,29
BLOCKS,0.29,1
CLEARANCES,0.39,32
AERIAL_DUELS_WON,1.73,92
