Young,Ashley,Aston Villa
LB,LM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.05,62
NON_PEN_XG,0.07,82
TOTAL_SHOTS,1.00,84
ASSISTS,0.21,89
XA,0.11,74
NON_PEN_XG+XA,0.18,78
SHOT_CREATIONS,2.16,77
PASSES_ATTEMPTED,38.92,6
PASS_COMPLETION_PERCENTAGE,80.1,67
PROGRESSIVE_PASSES,3.05,28
PROGRESSIVE CARRIES,3.53,26
DRIBBLES_COMPLETED,0.53,25
TOUCHES_IN_AREA,2.05,77
PROGRESSIVE_PASSES_RECIEVED,3.05,79
PRESSURES,8.69,6
TACKLES,1.84,40
INTERCEPTIONS,1.00,5
BLOCKS,1.21,5
CLEARANCES,1.74,21
AERIAL_DUELS_WON,0.42,6
