Mings,Tyrone,Aston Villa
CB,LB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,34
NON_PEN_XG,0.04,42
TOTAL_SHOTS,0.55,61
ASSISTS,0.05,80
XA,0.02,55
NON_PEN_XG+XA,0.06,40
SHOT_CREATIONS,0.43,32
PASSES_ATTEMPTED,43.11,19
PASS_COMPLETION_PERCENTAGE,79.6,9
PROGRESSIVE_PASSES,2.73,54
PROGRESSIVE CARRIES,1.48,20
DRIBBLES_COMPLETED,0.18,41
TOUCHES_IN_AREA,1.38,92
PROGRESSIVE_PASSES_RECIEVED,0.20,65
PRESSURES,7.11,23
TACKLES,0.88,8
INTERCEPTIONS,1.75,53
BLOCKS,2.66,99
CLEARANCES,6.69,90
AERIAL_DUELS_WON,2.98,66
