Traoré,Bertrand,Aston Villa
AM,RM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.31,73
NON_PEN_XG,0.27,76
TOTAL_SHOTS,2.62,78
ASSISTS,0.22,64
XA,0.13,25
NON_PEN_XG+XA,0.39,54
SHOT_CREATIONS,3.36,58
PASSES_ATTEMPTED,29.52,14
PASS_COMPLETION_PERCENTAGE,71.6,24
PROGRESSIVE_PASSES,2.79,32
PROGRESSIVE CARRIES,4.06,10
DRIBBLES_COMPLETED,2.14,71
TOUCHES_IN_AREA,4.19,57
PROGRESSIVE_PASSES_RECIEVED,3.62,7
PRESSURES,14.63,35
TACKLES,1.05,27
INTERCEPTIONS,0.92,51
BLOCKS,1.09,41
CLEARANCES,0.48,44
AERIAL_DUELS_WON,1.18,80
