Tuanzebe,Axel,Aston Villa
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.02,12
TOTAL_SHOTS,0.18,6
ASSISTS,0.00,28
XA,0.01,34
NON_PEN_XG+XA,0.03,8
SHOT_CREATIONS,0.18,3
PASSES_ATTEMPTED,49.38,38
PASS_COMPLETION_PERCENTAGE,89.4,75
PROGRESSIVE_PASSES,1.84,17
PROGRESSIVE CARRIES,2.36,43
DRIBBLES_COMPLETED,0.00,1
TOUCHES_IN_AREA,0.26,5
PROGRESSIVE_PASSES_RECIEVED,0.35,84
PRESSURES,10.33,70
TACKLES,1.75,68
INTERCEPTIONS,1.23,10
BLOCKS,2.19,89
CLEARANCES,3.50,9
AERIAL_DUELS_WON,1.93,19
