McGinn,John,Aston Villa
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.12,82
NON_PEN_XG,0.05,41
TOTAL_SHOTS,1.33,79
ASSISTS,0.07,56
XA,0.09,69
NON_PEN_XG+XA,0.14,56
SHOT_CREATIONS,2.61,82
PASSES_ATTEMPTED,38.70,18
PASS_COMPLETION_PERCENTAGE,76.2,10
PROGRESSIVE_PASSES,5.02,75
PROGRESSIVE CARRIES,3.55,45
DRIBBLES_COMPLETED,1.30,85
TOUCHES_IN_AREA,1.06,49
PROGRESSIVE_PASSES_RECIEVED,2.32,70
PRESSURES,17.15,39
TACKLES,2.29,54
INTERCEPTIONS,1.57,47
BLOCKS,1.01,8
CLEARANCES,0.82,16
AERIAL_DUELS_WON,0.89,37
