Nakamba,Marvelous,Aston Villa
AM,CM,DM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.00,1
TOTAL_SHOTS,0.06,1
ASSISTS,0.00,11
XA,0.01,2
NON_PEN_XG+XA,0.01,1
SHOT_CREATIONS,0.51,1
PASSES_ATTEMPTED,35.52,11
PASS_COMPLETION_PERCENTAGE,85.9,67
PROGRESSIVE_PASSES,2.18,6
PROGRESSIVE CARRIES,1.28,2
DRIBBLES_COMPLETED,0.32,9
TOUCHES_IN_AREA,0.06,1
PROGRESSIVE_PASSES_RECIEVED,0.39,2
PRESSURES,21.91,83
TACKLES,2.89,82
INTERCEPTIONS,1.80,67
BLOCKS,2.12,88
CLEARANCES,1.67,62
AERIAL_DUELS_WON,0.90,38
