Martínez,Emiliano,Aston Villa
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,+0.05,72
GOALS_CONCEDED,1.28,58
SAVE_PERCENTAGE,75.4,90
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.25,9
PENALTY_SAVE_PERCENTAGE,14.3,54
CLEAN_SHEET_PERCENTAGE,32.6,73
TOUCHES,35.72,55
LAUNCH_PERCENTAGE,50.7,74
GOAL_KICKS,7.28,46
AVG_GOAL_KICK_DISTANCE,48.2,62
CROSSES_STOPPED_PERCENTAGE,7.7,58
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.77,68
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,13.6,25
