Ings,Danny,Aston Villa
FW,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.33,43
NON_PEN_XG,0.22,12
TOTAL_SHOTS,1.89,17
ASSISTS,0.12,46
XA,0.10,38
NON_PEN_XG+XA,0.32,11
SHOT_CREATIONS,1.85,26
PASSES_ATTEMPTED,19.11,21
PASS_COMPLETION_PERCENTAGE,65.9,14
PROGRESSIVE_PASSES,1.89,70
PROGRESSIVE CARRIES,1.93,27
DRIBBLES_COMPLETED,1.19,65
TOUCHES_IN_AREA,5.41,63
PROGRESSIVE_PASSES_RECIEVED,5.37,11
PRESSURES,15.95,65
TACKLES,0.98,71
INTERCEPTIONS,0.66,82
BLOCKS,1.48,96
CLEARANCES,0.66,49
AERIAL_DUELS_WON,0.78,14
