Watkins,Ollie,Aston Villa
FW,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.32,42
NON_PEN_XG,0.36,55
TOTAL_SHOTS,2.62,62
ASSISTS,0.12,46
XA,0.10,38
NON_PEN_XG+XA,0.46,47
SHOT_CREATIONS,2.59,68
PASSES_ATTEMPTED,23.24,52
PASS_COMPLETION_PERCENTAGE,74.7,64
PROGRESSIVE_PASSES,1.45,49
PROGRESSIVE CARRIES,3.54,70
DRIBBLES_COMPLETED,1.10,59
TOUCHES_IN_AREA,6.36,82
PROGRESSIVE_PASSES_RECIEVED,8.73,76
PRESSURES,16.53,70
TACKLES,0.75,55
INTERCEPTIONS,0.32,38
BLOCKS,0.90,68
CLEARANCES,0.85,73
AERIAL_DUELS_WON,3.39,79
