El Ghazi,Anwar,Aston Villa
AM,WM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.29,69
NON_PEN_XG,0.23,64
TOTAL_SHOTS,2.84,86
ASSISTS,0.05,7
XA,0.12,20
NON_PEN_XG+XA,0.35,41
SHOT_CREATIONS,2.74,28
PASSES_ATTEMPTED,32.56,26
PASS_COMPLETION_PERCENTAGE,70.4,20
PROGRESSIVE_PASSES,1.96,12
PROGRESSIVE CARRIES,5.77,45
DRIBBLES_COMPLETED,1.22,28
TOUCHES_IN_AREA,4.30,58
PROGRESSIVE_PASSES_RECIEVED,6.80,59
PRESSURES,12.22,15
TACKLES,0.88,15
INTERCEPTIONS,0.59,21
BLOCKS,0.73,9
CLEARANCES,0.64,64
AERIAL_DUELS_WON,1.76,92
