Targett,Matt,Aston Villa
LB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.02,38
NON_PEN_XG,0.01,13
TOTAL_SHOTS,0.20,7
ASSISTS,0.07,51
XA,0.11,74
NON_PEN_XG+XA,0.13,53
SHOT_CREATIONS,1.87,61
PASSES_ATTEMPTED,55.55,63
PASS_COMPLETION_PERCENTAGE,76.6,41
PROGRESSIVE_PASSES,5.84,95
PROGRESSIVE CARRIES,2.73,10
DRIBBLES_COMPLETED,0.29,7
TOUCHES_IN_AREA,1.08,38
PROGRESSIVE_PASSES_RECIEVED,1.99,46
PRESSURES,12.01,42
TACKLES,2.48,73
INTERCEPTIONS,1.77,64
BLOCKS,2.46,88
CLEARANCES,2.80,71
AERIAL_DUELS_WON,2.14,91
