Ramsey,Jacob,Aston Villa
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.13,82
NON_PEN_XG,0.11,81
TOTAL_SHOTS,1.63,90
ASSISTS,0.00,11
XA,0.06,41
NON_PEN_XG+XA,0.17,68
SHOT_CREATIONS,2.01,60
PASSES_ATTEMPTED,31.36,5
PASS_COMPLETION_PERCENTAGE,84.6,55
PROGRESSIVE_PASSES,2.77,18
PROGRESSIVE CARRIES,4.40,63
DRIBBLES_COMPLETED,0.94,62
TOUCHES_IN_AREA,2.51,90
PROGRESSIVE_PASSES_RECIEVED,4.40,93
PRESSURES,23.57,90
TACKLES,1.82,29
INTERCEPTIONS,1.07,16
BLOCKS,1.95,81
CLEARANCES,1.01,23
AERIAL_DUELS_WON,0.82,33
