Sanson,Morgan,Aston Villa
AM,CM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.02,8
TOTAL_SHOTS,0.71,34
ASSISTS,0.00,11
XA,0.04,21
NON_PEN_XG+XA,0.05,10
SHOT_CREATIONS,1.24,19
PASSES_ATTEMPTED,43.59,30
PASS_COMPLETION_PERCENTAGE,73.3,5
PROGRESSIVE_PASSES,2.65,15
PROGRESSIVE CARRIES,6.88,91
DRIBBLES_COMPLETED,1.24,81
TOUCHES_IN_AREA,0.88,37
PROGRESSIVE_PASSES_RECIEVED,3.88,90
PRESSURES,30.71,99
TACKLES,1.94,35
INTERCEPTIONS,1.94,77
BLOCKS,1.59,55
CLEARANCES,0.88,19
AERIAL_DUELS_WON,1.41,60
