Bailey,Leon,Aston Villa
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.28,64
NON_PEN_XG,0.26,74
TOTAL_SHOTS,2.39,69
ASSISTS,0.28,81
XA,0.22,74
NON_PEN_XG+XA,0.48,74
SHOT_CREATIONS,3.52,64
PASSES_ATTEMPTED,37.45,45
PASS_COMPLETION_PERCENTAGE,70.1,19
PROGRESSIVE_PASSES,2.77,31
PROGRESSIVE CARRIES,7.03,70
DRIBBLES_COMPLETED,3.66,97
TOUCHES_IN_AREA,4.59,66
PROGRESSIVE_PASSES_RECIEVED,7.45,74
PRESSURES,10.83,9
TACKLES,1.31,46
INTERCEPTIONS,0.84,46
BLOCKS,0.61,8
CLEARANCES,0.52,49
AERIAL_DUELS_WON,1.03,76
