Chabot,Julian,Sampdoria
LCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.02,18
TOTAL_SHOTS,0.46,46
ASSISTS,0.08,93
XA,0.01,31
NON_PEN_XG+XA,0.03,12
SHOT_CREATIONS,0.38,26
PASSES_ATTEMPTED,55.77,59
PASS_COMPLETION_PERCENTAGE,87.0,51
PROGRESSIVE_PASSES,2.46,44
PROGRESSIVE CARRIES,2.62,50
DRIBBLES_COMPLETED,0.31,71
TOUCHES_IN_AREA,0.77,47
PROGRESSIVE_PASSES_RECIEVED,0.15,50
PRESSURES,13.15,92
TACKLES,2.23,86
INTERCEPTIONS,1.46,28
BLOCKS,2.00,81
CLEARANCES,6.54,88
AERIAL_DUELS_WON,3.69,88
