Candreva,Antonio,Sampdoria
AM,CM,RM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.21,52
NON_PEN_XG,0.13,16
TOTAL_SHOTS,2.06,55
ASSISTS,0.27,79
XA,0.22,72
NON_PEN_XG+XA,0.35,39
SHOT_CREATIONS,4.07,81
PASSES_ATTEMPTED,58.39,95
PASS_COMPLETION_PERCENTAGE,66.5,8
PROGRESSIVE_PASSES,6.80,98
PROGRESSIVE CARRIES,7.95,82
DRIBBLES_COMPLETED,0.86,12
TOUCHES_IN_AREA,2.54,14
PROGRESSIVE_PASSES_RECIEVED,4.74,18
PRESSURES,9.82,4
TACKLES,0.83,12
INTERCEPTIONS,1.10,69
BLOCKS,1.31,62
CLEARANCES,0.59,59
AERIAL_DUELS_WON,0.05,1
